accomodation_id,accomodation_type,status,date_requested,approved_by,notes
61f67c16-18d8-4811-8921-5846eea98407,Reduced Distraction Testing Environment,Approved,2020-01-31,ffa28fe5-14e3-45ff-88a2-a216f2ae1084,Such apply small science.
63b626e4-818d-4dde-98c8-83f699115c9b,Accessible Seating,Denied,2024-06-10,1ec7c5a7-8890-4a5d-8b08-a3f11e7ae2e2,Data TV short politics left hear arm. Face debate per plan total. Throughout one available image ever professor.
63b626e4-818d-4dde-98c8-83f699115c9b,Extended Time,Denied,2024-04-29,4487ccec-fda5-4509-8837-42ced519b726,Someone miss machine pull size common moment. Set choice should shake article.
19f9400e-ab89-40ac-bf06-7acfb6f21e18,Extended Time,Approved,2023-07-09,ecf20dd4-f25f-4294-84ed-1f8faed702df,Standard indicate candidate indicate spend so through. Year over kid shoulder think. Which school win machine budget individual especially.
ddaf08d9-1f1e-446a-9e49-c32a65b46cd4,Audio/Visual Aids,Approved,2021-04-02,97448d0b-b361-40f4-8a1a-c218507cb2e9,Region off build education bed beat help. Dinner marriage evening exactly local play. Culture which leader.
ddaf08d9-1f1e-446a-9e49-c32a65b46cd4,Alternative Format Materials,Approved,2023-06-14,67dea654-eb15-489e-90c6-e2233f25a9cc,Half create change nation recognize account. Of yet however with language risk. Enough seat clearly actually main generation account region.
30ef8c6a-706a-4af8-beb5-46b565ef60bf,Note-Taking Assistance,Approved,2021-04-15,74093053-0b2b-45c7-a5ab-a44d97319b3f,Community house alone without address but start. Treat them reduce.
6a436863-3085-438b-8abe-1ecce4baceed,Alternative Format Materials,Approved,2021-11-06,1ec7c5a7-8890-4a5d-8b08-a3f11e7ae2e2,Heart black speech debate.
6a436863-3085-438b-8abe-1ecce4baceed,Flexibility with Attendance,Approved,2023-04-21,7a912d3b-3ce0-406a-ac5c-45a334ecb486,Public according executive general nothing. Determine share however anything set record shake manager. Exist somebody hotel interest.
3e94da01-2a02-4c9e-96bd-6bc2d29d5bc0,Modified Assignments,Approved,2020-11-03,ffa28fe5-14e3-45ff-88a2-a216f2ae1084,Down director information dinner language language consider. Else idea blood might anyone suddenly.
ccaa36ed-3226-42af-9526-5d6072ce69ee,Accessible Seating,Denied,2022-03-11,8d18f2c8-f849-4839-bf34-e853caae668c,When amount investment three. Job growth plan month be.
ccaa36ed-3226-42af-9526-5d6072ce69ee,Modified Assignments,Pending,2024-03-03,cdbe8037-c3ae-4df6-b6e8-a52080011790,Medical report executive such dog. Miss area price most official risk call.
30917c75-7e56-4484-b965-5b218db38c94,Note-Taking Assistance,Denied,2025-01-17,cdbe8037-c3ae-4df6-b6e8-a52080011790,Democrat indeed necessary activity out. Race couple area father right activity environment.
30917c75-7e56-4484-b965-5b218db38c94,Use of Assistive Technology,Approved,2023-02-27,37173f93-a00c-45ef-befa-b09871f14d7f,Letter natural who character according trip.
0bb64ec4-7ede-47b9-8928-0ff730c6b9c8,Accessible Seating,Approved,2021-09-26,5cbc39b8-0770-499b-8708-0653b8e6ee6a,Billion big door. Administration few director close.
0bb64ec4-7ede-47b9-8928-0ff730c6b9c8,Use of Assistive Technology,Approved,2024-10-30,90650f7e-2a85-4266-8a99-f9faf5eac7b5,Close their type owner. Understand development ready myself south forget.
0ab10da2-c3ca-45ed-9efc-8966e29a6634,Use of Assistive Technology,Pending,2020-10-22,5b012381-3385-426a-b280-4295330b9886,Maybe north which assume central leave care it. Number fall knowledge learn.
0ab10da2-c3ca-45ed-9efc-8966e29a6634,Reduced Distraction Testing Environment,Pending,2020-10-13,ac3034d5-1318-422a-9b8a-554bd44986bc,Various nice mission. Strong which sort civil up worry. His edge seven his treat case be.
154e84cc-627c-47a2-b337-1a62742d1c4f,Alternative Format Materials,Pending,2020-03-25,5bc2597b-2853-4317-8d2c-eb4ec90e1e1e,Reality page culture and. Where wear somebody day management sound. Simply standard present prove agent chance agent.
