form_id,form_name,form_type,form_status,form_submitted_date,form_due_date
3692b2cf-4645-485b-9764-e03ff9fad16d,Application for Disability Services,Registration & Eligibility,Rejected,2024-06-29,2024-06-14
d1af79cf-13ed-4f68-a135-e6688d82048c,Medical or Psychological Documentation Form,Registration & Eligibility,Overdue,2026-01-01,2025-10-18
15a43860-9551-44b2-a3b0-f6478e5d06ef,Consent for Release of Information,Registration & Eligibility,Approved,2024-08-27,2024-10-25
2eee4f53-991b-4e74-b150-c9f717fba4ea,Accommodation Request Form,Academic & Classroom Accommodations,Approved,2024-04-19,2024-03-06
d0cd993d-0401-4b91-b73e-692bbbdf5e00,Alternative Testing Request Form,Academic & Classroom Accommodations,Rejected,2024-03-21,2024-10-19
bd6ecfb9-382c-4d50-bc74-68fad2e7e614,Note-Taker Agreement Form,Academic & Classroom Accommodations,Rejected,2024-11-12,2025-02-05
3ca5be70-cb33-4b9a-a960-880254a6c2b7,Request for Course Substitution,Academic & Classroom Accommodations,Overdue,2026-01-01,2025-08-22
2dae2118-aa87-4acb-af5e-59cca51e0f12,Priority Registration Request,Academic & Classroom Accommodations,Pending,2026-01-01,2025-03-03
c2c533c6-adfc-4b55-a521-3da39b3e8999,Reduced Course Load Request,Academic & Classroom Accommodations,Overdue,2026-01-01,2025-06-16
6fbbf571-0d61-4fd8-99be-6b395240f619,Assistive Technology Request,Academic & Classroom Accommodations,Overdue,2026-01-01,2025-10-27
d228205c-b43d-42f9-8ce7-74a370051949,Interpreter or Captioning Request,Academic & Classroom Accommodations,Pending,2026-01-01,2025-07-24
b62d6c7c-f2e6-40d8-8ebb-a4ec1baf39ec,Housing Accommodation Request,Campus Living & Mobility Accommodations,Pending,2026-01-01,2025-06-07
9abd3e96-ee66-4dac-9fd5-6cf3ae1619c6,Emotional Support Animal (ESA) Request,Campus Living & Mobility Accommodations,Pending,2026-01-01,2025-06-26
6297df7d-e9e0-48bf-9091-3c8720c5e28b,Service Animal Registration,Campus Living & Mobility Accommodations,Rejected,2024-08-26,2024-06-18
b9b7df8a-1d90-4365-8433-ebab98398e66,Transportation Assistance Form,Campus Living & Mobility Accommodations,Submitted,2024-11-09,2025-02-07
8df84201-488d-41bf-bb0b-58f96b92a393,Temporary Accommodations Request,"Appeals, Temporary & Workplace Accommodations",Overdue,2026-01-01,2025-09-23
c7349507-3a6b-4df6-b1b1-1139edba5272,Internship/Workplace Accommodation Request,"Appeals, Temporary & Workplace Accommodations",Approved,2024-12-14,2024-06-05
68c53ee7-9dbf-4fb5-8bcb-3761ee9252cf,Appeal or Grievance Form,"Appeals, Temporary & Workplace Accommodations",Approved,2024-07-10,2024-11-18
